,801001,801002,801003,801005,801300,发布日期
69,3060.11,5515.3,3286.83,2069.79,2835.86,2019/11/8 0:00:00
70,3076.14,5526.6,3299.47,2075.04,2848.6,2019/11/7 0:00:00
71,3072.3,5490.58,3285.88,2056.13,2842.03,2019/11/6 0:00:00
72,3082.31,5543.5,3308.33,2073.59,2858.04,2019/11/5 0:00:00
73,3067.31,5510.09,3291.78,2062.34,2839.2,2019/11/4 0:00:00
74,3049.76,5477.79,3271.63,2048.11,2818.37,2019/11/1 0:00:00
75,2991.22,5418.67,3228.14,2029.25,2771.67,2019/10/31 0:00:00
76,2989.37,5476.89,3244.78,2052.46,2775.37,2019/10/30 0:00:00
77,3006.81,5525.18,3269.82,2064.95,2788.96,2019/10/29 0:00:00
78,3007.72,5580.78,3298.97,2096.14,2802.29,2019/10/28 0:00:00
79,2992.19,5476.83,3255.7,2050.49,2775.03,2019/10/25 0:00:00
80,2977.95,5425.4,3232.84,2029.65,2753.37,2019/10/24 0:00:00
81,2975.52,5427.63,3236.06,2031.3,2756.26,2019/10/23 0:00:00
82,2992.93,5466.72,3258.49,2050.24,2773.95,2019/10/22 0:00:00
83,2984.63,5405.98,3233.48,2020.71,2760.36,2019/10/21 0:00:00
84,2973.56,5410.54,3236.2,2026.54,2755.44,2019/10/18 0:00:00
85,3015.2,5473.08,3279.64,2045.32,2794.62,2019/10/17 0:00:00
86,3009.65,5460.34,3279.99,2042.75,2790.87,2019/10/16 0:00:00
87,3021.48,5481.58,3294.12,2048.67,2802.3,2019/10/15 0:00:00
88,3022.51,5561.42,3322.41,2079.83,2819.03,2019/10/14 0:00:00
89,2998.4,5475.41,3281.19,2053.15,2789.13,2019/10/11 0:00:00
90,2960.51,5468.75,3262.59,2053.39,2764.04,2019/10/10 0:00:00
91,2942.69,5385.58,3226.18,2007.09,2737.92,2019/10/9 0:00:00
92,2949.67,5345.48,3209.9,1990.55,2733.13,2019/10/8 0:00:00
93,2919.23,5344.65,3199.69,1999.51,2719.77,2019/9/30 0:00:00
94,2952.23,5408.98,3234.28,2025.09,2751.14,2019/9/27 0:00:00
95,2943.06,5345.57,3216.22,1997.36,2739.74,2019/9/26 0:00:00
96,2960.23,5488.65,3274.21,2071.91,2769.74,2019/9/25 0:00:00
