,Unnamed: 0,指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
4871,4871,801230,综合,1999/12/30 0:00:00,1000.0,1000.0,1000.0,1000.0,0.2,2.28,0.0,0.69,47.94,4.36,12.02,4.78,297.74,8.27,
4870,4870,801230,综合,2000/1/4 0:00:00,1001.92,1044.67,987.96,1029.81,0.4,4.14,2.98,1.36,47.88,4.55,12.37,4.15,306.64,8.52,0.15
4869,4869,801230,综合,2000/1/5 0:00:00,1036.1,1073.0,1019.1,1047.65,0.7,7.66,1.73,2.37,48.64,4.62,12.5,5.08,311.97,8.67,0.15
4868,4868,801230,综合,2000/1/6 0:00:00,1044.52,1090.9,1027.3,1083.61,0.76,8.33,3.43,2.54,50.37,4.78,12.86,4.61,322.71,8.96,0.15
4867,4867,801230,综合,2000/1/7 0:00:00,1094.28,1149.26,1082.56,1132.7,1.59,19.0,4.53,5.34,52.35,4.97,13.32,5.2,338.3,9.14,0.14
4866,4866,801230,综合,2000/1/10 0:00:00,1149.07,1187.57,1116.7,1164.68,1.51,19.15,2.82,5.08,54.08,5.13,13.73,5.36,347.0,9.64,0.14
4865,4865,801230,综合,2000/1/11 0:00:00,1168.31,1180.36,1097.66,1115.26,1.26,14.59,-4.24,4.25,51.98,4.93,13.17,5.12,332.24,9.23,0.14
4864,4864,801230,综合,2000/1/12 0:00:00,1109.1,1140.63,1065.34,1088.57,0.92,10.92,-2.39,3.1,51.31,4.87,12.94,4.95,324.27,9.01,0.14
4863,4863,801230,综合,2000/1/13 0:00:00,1092.3,1109.49,1056.35,1075.84,0.56,5.89,-1.17,1.88,50.36,4.77,12.9,4.49,320.46,8.9,0.15
4862,4862,801230,综合,2000/1/14 0:00:00,1075.91,1100.24,1047.65,1063.67,0.46,4.87,-1.13,1.53,50.18,4.76,12.82,4.37,317.68,8.59,0.15
4861,4861,801230,综合,2000/1/17 0:00:00,1060.8,1095.85,1040.9,1087.63,0.56,5.84,2.25,1.89,51.37,4.87,13.07,5.05,324.02,9.0,0.14
4860,4860,801230,综合,2000/1/18 0:00:00,1090.21,1109.31,1062.72,1081.08,0.49,5.91,-0.6,1.66,50.75,4.81,13.09,4.34,322.06,8.95,0.15
4859,4859,801230,综合,2000/1/19 0:00:00,1078.18,1113.69,1062.86,1099.02,0.45,5.65,1.66,1.51,51.27,4.86,13.38,4.32,327.42,9.1,0.14
4858,4858,801230,综合,2000/1/20 0:00:00,1094.67,1133.51,1080.47,1119.25,0.57,7.16,1.84,1.92,52.48,4.98,13.66,3.76,333.46,9.26,0.14
4857,4857,801230,综合,2000/1/21 0:00:00,1123.55,1164.94,1102.6,1129.79,0.94,11.54,0.94,3.15,53.31,5.05,13.8,4.27,337.43,9.12,0.14
4856,4856,801230,综合,2000/1/24 0:00:00,1132.03,1166.96,1096.63,1144.44,0.85,11.07,1.3,2.88,54.54,5.16,13.97,3.79,341.02,9.47,0.14
4855,4855,801230,综合,2000/1/25 0:00:00,1148.99,1178.69,1111.44,1137.18,0.96,12.12,-0.63,3.23,53.86,5.03,13.85,4.73,338.85,9.41,0.14
4854,4854,801230,综合,2000/1/26 0:00:00,1137.49,1170.73,1113.64,1140.3,0.73,9.35,0.27,2.46,53.92,5.04,13.95,4.94,339.78,9.44,0.14
4853,4853,801230,综合,2000/1/27 0:00:00,1150.76,1206.19,1129.43,1184.59,1.2,15.36,3.88,4.05,55.96,5.22,14.47,5.03,353.01,9.81,0.13
4852,4852,801230,综合,2000/1/28 0:00:00,1193.81,1249.05,1173.89,1220.55,1.51,20.93,3.04,5.06,57.7,5.39,14.93,5.48,364.54,9.85,0.13
4851,4851,801230,综合,2000/2/14 0:00:00,1268.81,1335.98,1251.61,1334.41,1.54,21.38,9.33,5.18,63.22,5.9,16.29,4.98,397.8,11.05,0.12
4850,4850,801230,综合,2000/2/15 0:00:00,1393.82,1447.61,1334.31,1378.31,2.63,38.49,3.29,8.85,65.01,6.05,16.65,5.79,410.91,11.41,0.11
4849,4849,801230,综合,2000/2/16 0:00:00,1396.4,1461.29,1344.83,1432.5,2.66,38.36,3.93,8.95,67.47,6.28,17.26,5.92,427.09,11.86,0.11
4848,4848,801230,综合,2000/2/17 0:00:00,1474.49,1542.22,1323.3,1365.0,3.21,46.93,-4.71,10.8,63.57,5.92,16.46,5.34,406.94,11.3,0.12
4847,4847,801230,综合,2000/2/18 0:00:00,1342.46,1415.52,1281.94,1392.51,1.82,24.11,2.02,6.09,64.3,5.99,16.71,4.75,415.9,11.24,0.12
4846,4846,801230,综合,2000/2/21 0:00:00,1412.51,1459.73,1338.19,1400.03,2.1,29.62,0.54,7.06,64.4,5.95,16.53,4.99,417.43,11.6,0.12
4845,4845,801230,综合,2000/2/22 0:00:00,1410.23,1438.26,1317.6,1333.3,1.7,21.69,-4.77,5.72,62.02,5.74,15.81,4.52,397.5,11.04,0.12
4844,4844,801230,综合,2000/2/23 0:00:00,1303.2,1342.68,1257.83,1276.25,1.32,16.42,-4.28,4.46,60.2,5.56,15.28,4.49,380.47,10.57,0.12
4843,4843,801230,综合,2000/2/24 0:00:00,1266.04,1338.85,1247.48,1326.39,1.15,14.79,3.93,3.88,62.2,5.75,15.84,4.87,394.15,10.95,0.12
4842,4842,801230,综合,2000/2/25 0:00:00,1324.71,1365.02,1280.39,1317.03,1.1,14.43,-0.71,3.69,61.52,5.69,15.73,3.98,392.13,10.6,0.12
4841,4841,801230,综合,2000/2/28 0:00:00,1320.34,1391.29,1297.74,1378.14,1.45,20.07,4.64,4.89,64.34,5.94,16.25,4.26,409.39,11.37,0.12
4840,4840,801230,综合,2000/2/29 0:00:00,1399.3,1441.21,1328.58,1374.84,2.14,29.67,-0.24,7.21,64.49,5.96,16.06,5.34,408.32,11.34,0.12
4839,4839,801230,综合,2000/3/1 0:00:00,1383.1,1420.4,1330.35,1370.9,1.37,18.4,-0.29,4.61,63.88,5.91,15.91,4.3,406.48,11.29,0.12
4838,4838,801230,综合,2000/3/2 0:00:00,1367.51,1411.26,1333.89,1376.61,1.08,13.83,0.42,3.63,64.18,5.92,15.97,3.52,408.95,11.36,0.12
4837,4837,801230,综合,2000/3/3 0:00:00,1388.62,1426.86,1350.72,1379.69,1.38,18.95,0.22,4.61,64.71,5.96,15.98,3.95,410.58,11.1,0.11
4836,4836,801230,综合,2000/3/6 0:00:00,1386.36,1411.14,1295.5,1308.49,1.48,19.53,-5.16,4.97,61.42,5.66,15.26,4.01,388.79,10.8,0.12
4835,4835,801230,综合,2000/3/7 0:00:00,1290.47,1340.19,1268.6,1317.09,0.8,10.28,0.66,2.68,61.63,5.69,15.42,3.34,391.35,10.87,0.12
4834,4834,801230,综合,2000/3/8 0:00:00,1321.54,1367.73,1292.97,1350.28,0.89,11.06,2.52,2.98,63.38,5.85,15.71,3.47,401.12,11.14,0.12
4833,4833,801230,综合,2000/3/9 0:00:00,1360.43,1390.66,1322.71,1346.83,0.86,10.77,-0.26,2.91,63.46,5.86,15.63,2.94,399.97,11.11,0.12
4832,4832,801230,综合,2000/3/10 0:00:00,1350.16,1384.29,1313.18,1327.5,0.82,9.84,-1.44,2.75,62.21,5.71,15.51,3.1,395.02,10.68,0.12
4831,4831,801230,综合,2000/3/13 0:00:00,1326.55,1362.59,1310.38,1344.34,0.72,9.0,1.27,2.44,62.65,5.75,15.72,3.3,399.35,11.09,0.12
4830,4830,801230,综合,2000/3/14 0:00:00,1315.53,1350.22,1260.71,1319.62,1.2,15.85,-1.84,4.03,61.61,5.67,15.39,4.3,391.52,10.88,0.12
4829,4829,801230,综合,2000/3/15 0:00:00,1316.02,1346.16,1286.48,1310.86,0.83,10.75,-0.66,2.8,60.99,5.61,15.38,3.58,388.87,10.8,0.12
4828,4828,801230,综合,2000/3/16 0:00:00,1298.48,1310.82,1221.67,1239.83,0.82,9.87,-5.42,2.75,57.75,5.31,14.65,3.61,367.88,10.22,0.13
4827,4827,801230,综合,2000/3/17 0:00:00,1236.91,1296.78,1226.5,1279.62,0.64,7.99,3.21,2.13,59.52,5.47,15.03,2.94,380.37,10.28,0.12
4826,4826,801230,综合,2000/3/20 0:00:00,1269.39,1329.16,1243.98,1314.06,0.85,11.4,2.69,2.87,60.96,5.6,15.4,3.38,389.63,10.82,0.12
4825,4825,801230,综合,2000/3/21 0:00:00,1323.11,1349.76,1287.91,1317.08,0.85,11.85,0.23,2.87,61.6,5.65,15.52,3.33,390.5,10.85,0.12
4824,4824,801230,综合,2000/3/22 0:00:00,1321.19,1363.12,1300.37,1331.85,0.89,11.96,1.12,3.01,62.55,5.74,15.7,3.49,394.86,10.97,0.12
4823,4823,801230,综合,2000/3/23 0:00:00,1329.93,1372.59,1305.33,1357.77,0.99,14.77,1.95,3.34,63.95,5.87,15.97,4.07,402.19,11.17,0.12
4822,4822,801230,综合,2000/3/24 0:00:00,1364.92,1396.96,1327.18,1349.19,1.42,16.69,-0.63,4.76,63.23,5.8,15.91,3.68,400.77,10.83,0.12
4821,4821,801230,综合,2000/3/27 0:00:00,1358.28,1405.85,1330.67,1385.56,1.44,17.23,2.7,5.05,64.73,5.86,16.68,4.11,401.16,11.46,0.11
4820,4820,801230,综合,2000/3/28 0:00:00,1400.05,1432.07,1365.07,1395.23,1.53,19.04,0.7,5.05,64.81,5.97,16.48,4.15,418.53,11.63,0.11
4819,4819,801230,综合,2000/3/29 0:00:00,1397.72,1427.38,1349.81,1389.8,1.54,18.59,-0.39,5.03,64.81,5.97,16.46,4.81,421.76,11.72,0.11
4818,4818,801230,综合,2000/3/30 0:00:00,1393.17,1429.61,1363.62,1408.11,1.14,14.0,1.32,3.71,65.99,6.08,16.6,3.92,427.14,11.86,0.11
4817,4817,801230,综合,2000/3/31 0:00:00,1401.06,1426.76,1365.79,1390.26,1.07,12.99,-1.27,3.43,65.86,5.89,16.47,3.48,428.5,11.58,0.11
4816,4816,801230,综合,2000/4/3 0:00:00,1387.28,1411.7,1354.72,1373.62,0.9,10.49,-1.2,2.89,64.88,5.8,16.36,3.01,422.56,11.74,0.11
4815,4815,801230,综合,2000/4/4 0:00:00,1367.54,1383.56,1327.27,1347.81,0.85,9.79,-1.88,2.73,63.66,5.69,16.05,3.36,414.61,11.52,0.11
4814,4814,801230,综合,2000/4/5 0:00:00,1343.61,1380.12,1324.79,1353.47,0.61,7.22,0.42,1.98,64.06,5.72,16.11,2.98,416.35,11.57,0.11
4813,4813,801230,综合,2000/4/6 0:00:00,1354.94,1404.85,1347.16,1390.61,0.72,9.78,2.74,2.34,65.81,5.89,16.53,3.29,427.8,11.88,0.11
4812,4812,801230,综合,2000/4/7 0:00:00,1394.46,1417.08,1370.07,1388.53,0.76,9.74,-0.15,2.44,66.0,5.91,16.52,2.84,427.97,11.57,0.11
4811,4811,801230,综合,2000/4/10 0:00:00,1394.27,1413.36,1364.86,1391.39,0.67,8.98,0.21,2.16,66.09,5.94,16.53,2.64,428.08,11.89,0.11
4810,4810,801230,综合,2000/4/11 0:00:00,1396.7,1424.54,1368.58,1395.72,0.7,8.78,0.31,2.26,65.95,5.91,16.56,2.81,429.41,11.93,0.11
4809,4809,801230,综合,2000/4/12 0:00:00,1393.83,1412.14,1360.57,1379.42,0.55,6.65,-1.17,1.78,65.2,6.03,16.38,2.51,424.39,11.79,0.11
4808,4808,801230,综合,2000/4/13 0:00:00,1380.28,1412.01,1362.77,1389.26,0.74,9.73,0.71,2.39,65.61,6.1,16.47,3.16,427.42,11.87,0.11
4807,4807,801230,综合,2000/4/14 0:00:00,1394.78,1414.49,1365.24,1387.84,0.89,11.24,-0.1,2.84,65.63,6.09,16.46,3.35,427.75,11.56,0.11
4806,4806,801230,综合,2000/4/17 0:00:00,1384.76,1403.15,1337.61,1365.89,1.3,17.27,-1.58,4.21,64.47,6.07,16.27,4.91,420.26,11.67,0.11
4805,4805,801230,综合,2000/4/18 0:00:00,1371.77,1397.06,1344.29,1374.52,0.52,6.93,0.63,2.34,64.18,6.04,16.35,2.78,291.19,11.2,0.16
4804,4804,801230,综合,2000/4/19 0:00:00,1380.35,1419.28,1363.05,1393.05,0.72,9.24,1.35,2.34,66.49,6.25,16.59,3.56,428.63,11.91,0.11
4803,4803,801230,综合,2000/4/20 0:00:00,1395.4,1441.78,1374.9,1418.9,1.08,13.67,1.86,3.5,67.61,6.36,16.87,4.42,436.6,12.13,0.11
4802,4802,801230,综合,2000/4/21 0:00:00,1424.36,1468.64,1396.97,1423.89,1.21,15.98,0.35,3.89,68.71,6.46,16.85,5.13,438.87,11.86,0.11
4801,4801,801230,综合,2000/4/24 0:00:00,1429.57,1459.4,1398.47,1425.15,1.02,14.13,0.09,3.29,68.49,6.46,16.86,5.01,438.5,12.18,0.11
4800,4800,801230,综合,2000/4/25 0:00:00,1425.95,1447.15,1388.65,1411.53,0.59,9.2,-0.96,1.9,68.2,6.32,16.72,4.32,434.3,12.06,0.11
4799,4799,801230,综合,2000/4/26 0:00:00,1412.7,1438.25,1383.14,1397.8,0.71,9.49,-0.97,2.28,67.89,6.41,16.6,4.66,430.07,11.95,0.11
4798,4798,801230,综合,2000/4/27 0:00:00,1396.73,1417.48,1365.84,1384.66,0.85,10.93,-0.94,2.75,66.94,6.38,16.5,4.61,426.02,11.83,0.11
4797,4797,801230,综合,2000/4/28 0:00:00,1387.32,1419.66,1361.75,1402.45,0.69,9.78,1.28,2.21,67.98,6.48,16.75,3.98,432.26,11.68,0.11
4796,4796,801230,综合,2000/5/8 0:00:00,1402.87,1435.59,1374.36,1403.81,0.81,9.57,0.1,2.52,59.56,6.5,16.41,4.66,441.16,12.25,0.08
4795,4795,801230,综合,2000/5/9 0:00:00,1402.31,1422.74,1366.57,1388.1,0.67,8.43,-1.12,2.09,58.65,6.4,16.21,4.3,436.21,12.12,0.08
4794,4794,801230,综合,2000/5/10 0:00:00,1383.61,1396.58,1340.7,1349.13,0.66,7.81,-2.81,2.04,56.74,6.2,15.76,4.55,423.94,11.78,0.08
4793,4793,801230,综合,2000/5/11 0:00:00,1346.66,1366.77,1303.64,1319.58,0.47,5.68,-2.19,1.46,55.41,6.06,15.53,3.51,414.64,11.52,0.08
4792,4792,801230,综合,2000/5/12 0:00:00,1323.07,1353.08,1298.06,1322.42,0.56,6.32,0.22,1.73,55.53,6.07,15.49,4.53,416.32,11.25,0.08
4791,4791,801230,综合,2000/5/15 0:00:00,1325.12,1354.18,1291.93,1314.3,0.61,6.88,-0.61,1.89,55.05,6.01,15.41,5.36,413.01,11.47,0.1
4790,4790,801230,综合,2000/5/16 0:00:00,1317.51,1355.16,1305.25,1334.34,0.45,5.45,1.52,1.39,55.78,6.1,15.56,5.15,419.32,11.65,0.1
4789,4789,801230,综合,2000/5/17 0:00:00,1336.79,1363.82,1320.06,1341.75,0.46,5.49,0.56,1.43,56.22,6.14,15.57,4.95,421.66,11.71,0.1
4788,4788,801230,综合,2000/5/18 0:00:00,1340.5,1386.46,1325.75,1378.73,0.6,7.52,2.76,1.87,58.12,6.34,15.94,4.74,433.3,12.04,0.09
4787,4787,801230,综合,2000/5/19 0:00:00,1383.24,1412.93,1358.99,1393.33,1.04,12.55,1.06,3.21,58.67,6.41,16.11,5.79,438.65,11.86,0.09
4786,4786,801230,综合,2000/5/22 0:00:00,1402.94,1457.23,1382.81,1433.56,1.31,15.85,2.89,4.05,60.27,6.58,16.51,5.33,450.6,12.52,0.09
4785,4785,801230,综合,2000/5/23 0:00:00,1438.39,1461.44,1401.73,1431.32,0.77,9.61,-0.16,2.4,59.64,6.52,16.51,3.85,449.89,12.5,0.09
4784,4784,801230,综合,2000/5/24 0:00:00,1434.05,1477.68,1417.48,1449.73,0.86,10.99,1.29,2.68,60.63,6.63,16.66,3.48,455.69,12.66,0.09
4783,4783,801230,综合,2000/5/25 0:00:00,1452.25,1483.86,1434.05,1464.15,0.72,9.73,1.0,2.24,61.27,6.7,16.84,2.82,460.23,12.78,0.09
4782,4782,801230,综合,2000/5/26 0:00:00,1472.26,1494.97,1436.81,1460.45,0.78,11.11,-0.25,2.4,61.03,6.67,16.78,3.18,459.78,12.43,0.09
4781,4781,801230,综合,2000/5/29 0:00:00,1461.22,1487.03,1433.01,1457.33,0.73,9.73,-0.21,2.25,61.75,6.74,16.8,2.6,458.12,12.73,0.09
4780,4780,801230,综合,2000/5/30 0:00:00,1459.55,1499.7,1429.84,1459.5,0.81,10.74,0.15,2.51,62.12,6.77,16.71,3.31,458.8,12.74,0.09
4779,4779,801230,综合,2000/5/31 0:00:00,1456.52,1494.03,1435.49,1470.04,0.8,10.38,0.72,2.46,61.67,6.73,16.76,3.48,464.32,12.9,0.09
4778,4778,801230,综合,2000/6/1 0:00:00,1475.12,1504.65,1445.04,1471.19,0.59,7.86,0.08,1.81,61.51,6.72,16.75,2.75,464.69,12.91,0.09
4777,4777,801230,综合,2000/6/2 0:00:00,1475.42,1499.93,1447.92,1475.99,0.58,7.86,0.33,1.78,61.67,6.73,16.78,2.32,466.88,12.62,0.09
4776,4776,801230,综合,2000/6/5 0:00:00,1479.24,1511.08,1440.65,1466.14,0.86,11.33,-0.67,2.64,61.19,6.68,16.71,2.76,463.12,12.86,0.09
4775,4775,801230,综合,2000/6/6 0:00:00,1465.84,1498.61,1449.7,1483.87,0.56,7.84,1.21,1.73,61.78,6.75,16.95,2.38,468.73,13.02,0.09
4774,4774,801230,综合,2000/6/7 0:00:00,1489.53,1519.34,1463.29,1485.31,0.67,9.17,0.1,2.06,61.82,6.75,16.9,2.93,469.19,13.03,0.09
4773,4773,801230,综合,2000/6/8 0:00:00,1480.24,1501.92,1445.42,1469.91,0.72,8.71,-1.04,2.21,61.21,6.68,16.73,2.71,464.32,12.9,0.09
4772,4772,801230,综合,2000/6/9 0:00:00,1474.19,1494.0,1444.66,1461.62,0.73,8.38,-0.56,2.25,60.96,6.65,16.65,3.05,462.34,12.5,0.09
4771,4771,801230,综合,2000/6/12 0:00:00,1456.61,1483.4,1435.54,1471.8,0.47,5.98,0.7,1.44,60.83,6.65,16.75,2.56,464.91,12.91,0.09
4770,4770,801230,综合,2000/6/13 0:00:00,1476.89,1505.62,1457.89,1487.24,0.55,7.13,1.05,1.68,61.05,6.67,16.88,2.84,469.8,13.05,0.09
4769,4769,801230,综合,2000/6/14 0:00:00,1492.49,1512.83,1467.36,1484.9,0.7,8.47,-0.16,2.17,61.11,6.68,16.84,2.83,469.06,13.03,0.09
4768,4768,801230,综合,2000/6/15 0:00:00,1485.81,1517.37,1462.82,1498.69,0.7,9.27,0.93,2.15,61.72,6.75,17.02,3.55,473.42,13.15,0.09
4767,4767,801230,综合,2000/6/16 0:00:00,1500.22,1516.28,1467.93,1481.37,0.51,7.24,-1.16,1.57,60.94,6.66,16.83,2.53,468.58,12.66,0.09
4766,4766,801230,综合,2000/6/19 0:00:00,1475.97,1494.19,1444.83,1467.11,0.46,6.4,-0.96,1.41,60.68,6.62,16.66,2.71,463.4,12.87,0.09
4765,4765,801230,综合,2000/6/20 0:00:00,1460.9,1479.86,1431.58,1451.26,0.41,5.47,-1.08,1.24,60.07,6.55,16.33,2.82,458.38,12.73,0.09
4764,4764,801230,综合,2000/6/21 0:00:00,1450.64,1486.39,1437.5,1470.82,0.32,4.96,1.35,0.97,60.93,6.65,16.67,2.74,464.57,12.9,0.09
4763,4763,801230,综合,2000/6/22 0:00:00,1472.08,1506.0,1452.02,1483.77,0.34,5.66,0.88,1.05,61.17,6.67,16.89,2.79,468.67,13.02,0.09
4762,4762,801230,综合,2000/6/23 0:00:00,1483.18,1525.85,1461.9,1501.49,0.53,8.91,1.19,1.58,61.87,6.72,17.1,3.38,481.06,13.0,0.09
4761,4761,801230,综合,2000/6/26 0:00:00,1507.24,1526.54,1478.37,1495.14,0.53,8.05,-0.42,1.59,61.78,6.71,16.99,2.82,478.43,13.29,0.09
4760,4760,801230,综合,2000/6/27 0:00:00,1496.05,1518.47,1465.9,1484.46,0.68,8.32,-0.71,2.05,61.13,6.65,16.8,3.15,475.0,13.19,0.09
4759,4759,801230,综合,2000/6/28 0:00:00,1490.16,1518.84,1470.23,1495.85,0.48,6.51,0.77,1.44,61.8,6.72,16.86,2.56,478.65,13.3,0.09
4758,4758,801230,综合,2000/6/29 0:00:00,1499.98,1524.44,1472.97,1496.83,0.44,6.15,0.07,1.33,61.95,6.56,16.91,2.3,478.97,13.3,0.09
4757,4757,801230,综合,2000/6/30 0:00:00,1496.67,1519.45,1464.47,1483.49,0.54,6.87,-0.89,1.61,61.76,6.54,16.76,2.6,475.29,12.85,0.09
4756,4756,801230,综合,2000/7/3 0:00:00,1476.85,1495.62,1436.86,1461.95,0.54,6.53,-1.45,1.6,61.8,6.51,16.42,2.72,473.1,13.14,0.09
4755,4755,801230,综合,2000/7/4 0:00:00,1458.19,1482.86,1438.67,1466.71,0.32,3.99,0.33,0.95,61.91,6.52,16.5,2.41,474.64,13.18,0.09
4754,4754,801230,综合,2000/7/5 0:00:00,1471.49,1495.59,1449.83,1472.98,0.43,5.09,0.43,1.28,61.77,6.5,16.51,3.03,476.67,13.24,0.09
4753,4753,801230,综合,2000/7/6 0:00:00,1473.74,1494.6,1450.98,1469.27,0.51,6.01,-0.25,1.51,61.71,6.49,16.42,3.35,475.47,13.21,0.09
4752,4752,801230,综合,2000/7/7 0:00:00,1467.52,1496.99,1455.93,1481.19,0.49,6.47,0.81,1.44,62.65,6.59,16.51,3.17,479.92,12.97,0.09
4751,4751,801230,综合,2000/7/10 0:00:00,1482.56,1506.73,1452.62,1483.19,0.72,9.75,0.14,2.15,63.49,6.66,16.43,3.57,479.95,13.33,0.09
4750,4750,801230,综合,2000/7/11 0:00:00,1484.68,1517.09,1464.2,1500.75,0.65,8.58,1.18,1.93,64.11,6.73,16.64,3.15,485.64,13.49,0.09
4749,4749,801230,综合,2000/7/12 0:00:00,1506.41,1524.16,1478.53,1493.14,0.66,8.96,-0.51,1.96,63.64,6.69,16.4,3.3,482.87,13.41,0.09
4748,4748,801230,综合,2000/7/13 0:00:00,1494.48,1521.08,1465.32,1493.53,0.69,9.44,0.03,2.04,62.86,6.61,16.46,2.53,483.0,13.42,0.13
4747,4747,801230,综合,2000/7/14 0:00:00,1497.72,1533.62,1474.32,1508.81,0.85,12.25,1.02,2.51,63.57,6.69,16.52,4.04,488.58,13.2,0.13
4746,4746,801230,综合,2000/7/17 0:00:00,1528.36,1551.63,1493.03,1521.4,1.03,15.09,0.83,3.04,63.79,6.72,16.51,5.29,491.97,13.67,0.14
4745,4745,801230,综合,2000/7/18 0:00:00,1525.98,1549.38,1502.49,1532.08,0.68,9.92,0.7,1.99,64.5,6.78,16.55,4.57,495.44,13.76,0.13
4744,4744,801230,综合,2000/7/19 0:00:00,1538.93,1562.93,1517.88,1536.67,0.69,10.34,0.3,2.02,64.35,6.76,16.6,4.54,496.94,13.8,0.13
4743,4743,801230,综合,2000/7/20 0:00:00,1534.66,1548.54,1504.31,1520.92,0.58,8.11,-1.02,1.69,63.16,6.64,16.48,3.47,491.84,13.66,0.14
4742,4742,801230,综合,2000/7/21 0:00:00,1524.44,1556.92,1514.12,1531.03,0.59,8.27,0.66,1.71,64.06,6.74,16.58,3.89,495.78,13.4,0.13
4741,4741,801230,综合,2000/7/24 0:00:00,1536.84,1550.67,1511.75,1526.98,0.65,8.06,-0.26,1.92,63.62,6.7,16.5,3.53,493.8,13.72,0.12
4740,4740,801230,综合,2000/7/25 0:00:00,1527.04,1553.87,1504.54,1532.04,0.49,7.01,0.33,1.43,63.98,6.68,16.57,3.45,495.43,13.76,0.12
4739,4739,801230,综合,2000/7/26 0:00:00,1534.74,1561.4,1518.01,1541.44,0.51,7.21,0.61,1.48,64.25,6.69,16.68,3.19,498.47,13.85,0.12
4738,4738,801230,综合,2000/7/27 0:00:00,1542.89,1568.77,1517.44,1539.33,0.74,9.66,-0.14,2.19,63.95,6.67,16.71,3.39,497.76,13.83,0.12
4737,4737,801230,综合,2000/7/28 0:00:00,1546.48,1570.44,1516.67,1544.45,0.69,9.32,0.33,2.02,64.17,6.68,16.85,3.68,500.11,13.52,0.12
4736,4736,801230,综合,2000/7/31 0:00:00,1546.93,1577.37,1527.81,1558.95,0.85,11.47,0.94,2.49,64.56,6.71,17.03,4.03,504.07,14.0,0.12
4735,4735,801230,综合,2000/8/1 0:00:00,1560.35,1584.49,1540.54,1559.27,0.61,8.38,0.02,1.79,64.75,6.72,17.03,3.87,504.2,14.01,0.12
4734,4734,801230,综合,2000/8/2 0:00:00,1566.83,1588.89,1535.74,1558.73,0.7,9.96,-0.03,2.05,64.58,6.71,17.04,4.58,504.02,14.0,0.12
4733,4733,801230,综合,2000/8/3 0:00:00,1561.59,1585.74,1531.23,1560.62,0.68,10.18,0.12,2.0,64.54,6.7,17.08,3.77,504.65,14.02,0.12
4732,4732,801230,综合,2000/8/4 0:00:00,1560.34,1585.72,1535.33,1554.7,0.73,10.14,-0.38,2.15,64.1,6.66,16.99,3.61,503.44,13.61,0.12
4731,4731,801230,综合,2000/8/7 0:00:00,1553.46,1578.89,1535.76,1564.63,0.52,7.0,0.64,1.52,64.15,6.62,17.1,2.7,505.89,14.05,0.12
4730,4730,801230,综合,2000/8/8 0:00:00,1566.82,1596.55,1553.22,1581.43,0.6,8.72,1.07,1.75,64.9,6.7,17.24,3.33,511.36,14.2,0.12
4729,4729,801230,综合,2000/8/9 0:00:00,1585.1,1606.8,1561.44,1590.16,0.71,10.58,0.55,2.08,64.97,6.7,17.37,3.58,514.16,14.28,0.12
4728,4728,801230,综合,2000/8/10 0:00:00,1595.55,1626.02,1574.3,1603.16,0.97,14.72,0.82,2.84,65.46,6.74,17.48,4.62,518.37,14.4,0.1
4727,4727,801230,综合,2000/8/11 0:00:00,1608.05,1630.68,1573.15,1593.72,0.78,12.26,-0.59,2.29,65.05,6.68,17.45,4.45,515.98,13.95,0.12
4726,4726,801230,综合,2000/8/14 0:00:00,1596.57,1629.62,1577.35,1607.73,0.66,10.29,0.88,1.93,65.64,6.74,17.54,4.07,519.7,14.44,0.12
4725,4725,801230,综合,2000/8/15 0:00:00,1608.94,1632.42,1580.75,1607.73,0.66,9.94,0.0,1.95,65.74,6.7,17.57,4.4,519.7,14.44,0.12
4724,4724,801230,综合,2000/8/16 0:00:00,1608.82,1630.18,1585.11,1608.68,0.62,8.68,0.06,1.83,65.69,6.51,17.62,3.64,520.03,14.45,0.11
4723,4723,801230,综合,2000/8/17 0:00:00,1608.89,1630.15,1584.51,1608.2,0.7,9.76,-0.03,2.05,65.56,6.3,17.61,4.08,519.8,14.44,0.11
4722,4722,801230,综合,2000/8/18 0:00:00,1608.0,1627.87,1590.55,1612.35,0.64,9.07,0.26,1.87,65.63,6.22,17.68,3.86,521.95,14.11,0.11
4721,4721,801230,综合,2000/8/21 0:00:00,1613.81,1649.69,1595.63,1625.83,0.79,10.7,0.84,2.32,66.17,6.24,17.77,3.45,526.82,14.63,0.1
4720,4720,801230,综合,2000/8/22 0:00:00,1627.01,1639.88,1579.61,1590.15,0.56,7.91,-2.19,1.63,65.05,6.12,17.45,2.78,515.24,14.31,0.11
4719,4719,801230,综合,2000/8/23 0:00:00,1576.62,1601.91,1509.2,1569.58,0.97,13.36,-1.29,2.83,64.28,6.05,17.25,3.26,508.56,14.13,0.11
4718,4718,801230,综合,2000/8/24 0:00:00,1569.62,1594.8,1542.92,1571.86,0.62,8.76,0.15,1.81,64.5,6.08,17.37,2.87,509.31,14.15,0.11
4717,4717,801230,综合,2000/8/25 0:00:00,1573.27,1601.42,1559.59,1590.96,0.48,7.2,1.21,1.38,65.19,6.14,17.61,2.98,516.3,13.95,0.15
